name,type,habitat,ele_upper,ele_lower,category
Nanorana liebigii,AMPHIBIAN,Shr_Wet,,,LC
Duttaphrynus himalayanus,AMPHIBIAN,Cro_For_Shr_Wat_Wet,,,LC
Scutiger nyingchiensis,AMPHIBIAN,For_Gra_Wet,,,LC
Nanorana parkeri,AMPHIBIAN,For_Gra_Shr_Wet,,,LC
Scutiger boulengeri,AMPHIBIAN,Gra_Wet,,,LC
Amolops monticola,AMPHIBIAN,For_Wet,,,LC
Amolops formosus,AMPHIBIAN,For_Wet,,,LC
Nanorana polunini,AMPHIBIAN,For_Wet,,,LC
Asio otus,BIRD,For_Gra_Shr_Wet,2750.0,0.0,LC
Circus cyaneus,BIRD,Cro_For_Gra_Shr_Wet,3000.0,0.0,LC
Circus melanoleucos,BIRD,Cro_Gra_Shr_Wet,2100.0,,LC
Cuculus optatus,BIRD,For_Shr,4500.0,0.0,LC
Cuculus saturatus,BIRD,For,4500.0,0.0,LC
Falco cherrug,BIRD,Cro_For_Gra_Shr_Wat_Wet,4700.0,0.0,EN
Falco columbarius,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,,,LC
Falco severus,BIRD,Cro_For_Gra,2600.0,0.0,LC
Falco tinnunculus,BIRD,Cro_For_Gra_Imp_Shr_Wat_Wet,3500.0,0.0,LC
Haliaeetus leucoryphus,BIRD,Wet,5000.0,,EN
Aythya ferina,BIRD,Wat_Wet,2690.0,0.0,VU
Haliaeetus albicilla,BIRD,For_Gra_Wat_Wet,1500.0,0.0,LC
Aceros nipalensis,BIRD,For,2400.0,300.0,VU
Ficedula hodgsoni,BIRD,For_Shr,,,LC
Ficedula superciliaris,BIRD,Cro_For_Gra_Imp,,,LC
Saxicola torquatus,BIRD,Cro_For_Gra_Imp_Shr_Wet,3200.0,,LC
Suthora nipalensis,BIRD,For_Gra_Shr,3300.0,1200.0,LC
Anas crecca,BIRD,Cro_For_Shr_Wat_Wet,,,LC
Upupa epops,BIRD,Gra_Imp,3650.0,,LC
Alectoris chukar,BIRD,Gra_Shr,4500.0,,LC
Anthus richardi,BIRD,Cro,1800.0,,LC
Apus pacificus,BIRD,For_Imp,4000.0,,LC
Aquila heliaca,BIRD,Cro_For_Gra_Shr_Wet,1600.0,0.0,VU
Ardea alba,BIRD,Gra_Wat_Wet,1500.0,,LC
Athene noctua,BIRD,Cro_Gra_Imp_Shr,2600.0,,LC
